[2018-05-08 09:17:53] [INFO] 启动ChromeDriver
[2018-05-08 09:17:54] [INFO] 打开网址http://127.0.0.1:8087/Discuz_X3.2_SC_GBK/upload/forum.php
[2018-05-08 09:17:54] [INFO] 找到元素
[2018-05-08 09:17:54] [INFO] 输入内容为：jxr
[2018-05-08 09:17:54] [INFO] 找到元素
[2018-05-08 09:17:54] [INFO] 输入内容为：123456
[2018-05-08 09:17:54] [INFO] 找到元素
[2018-05-08 09:17:54] [INFO] 元素点击成功
[2018-05-08 09:17:57] [INFO] 找到元素
[2018-05-08 09:17:58] [INFO] 元素点击成功
[2018-05-08 09:17:58] [INFO] 找到元素
[2018-05-08 09:17:58] [INFO] 输入内容为：我的第一篇帖子
[2018-05-08 09:17:58] [INFO] 找到元素
[2018-05-08 09:17:58] [INFO] 输入内容为：欢迎回帖，.....................
[2018-05-08 09:17:58] [INFO] 找到元素
[2018-05-08 09:17:58] [INFO] 元素点击成功
